0
positive concentrations regularity
strong regularity
strong regularity horizontal
regularity horizontal
regularity horizontal vertical
herein based regularity
based regularity
based regularity water
regularity water
regularity water flow
due rainfall irregularity
rainfall irregularity
rainfall irregularity high
irregularity high
irregularity high magnitude
represents discernable regularity
discernable regularity
discernable regularity solutions
regularity solutions
regularity solutions load
surface temperature regularity
temperature regularity
temperature regularity may
regularity may
regularity may act
understanding variation regularity
variation regularity
variation regularity water
regularity water
regularity water level
analyzed compared regularity
compared regularity
compared regularity flash
regularity flash
regularity flash floods
it relies regularity
relies regularity
relies regularity conditions
regularity conditions
regularity conditions pore
such that regularity
that regularity
that regularity conditions
regularity conditions
regularity conditions fulfilled
assumption about regularity
about regularity
about regularity actual
regularity actual
regularity actual concentration
regularity based
regularity based functional
media derived regularity
derived regularity
derived regularity properties
regularity properties
regularity properties solutions
also temporal regularity
temporal regularity
temporal regularity seasonal
regularity seasonal
regularity seasonal flow
media derived regularity
derived regularity
derived regularity properties
regularity properties
regularity properties solutions
distributions statistical regularity
statistical regularity
statistical regularity found
regularity found
regularity found surprisingly
experiment determine regularity
determine regularity
determine regularity stability
regularity stability
regularity stability approximation
table derived regularity
derived regularity
derived regularity properties
regularity properties
regularity properties solutions
i e regularity
e regularity
e regularity irregularity
regularity irregularity
regularity irregularity seasonal
irregularity seasonal
irregularity seasonal pattern
scales seasonality irregularity
seasonality irregularity
seasonality irregularity captured
irregularity captured
irregularity captured using
basin differences regularity
differences regularity
differences regularity stability
regularity stability
regularity stability seasonal
have morphological regularity
morphological regularity
morphological regularity similar
regularity similar
regularity similar pool
priori assumption regularity
assumption regularity
assumption regularity convergence
regularity convergence
regularity convergence c
bed elevations regularity
elevations regularity
elevations regularity bed
regularity bed
regularity bed form
periods great irregularity
great irregularity
great irregularity annual
irregularity annual
irregularity annual precipitation
analyze status regularity
status regularity
status regularity climatic
regularity climatic
regularity climatic change
there degree regularity
degree regularity
degree regularity between
regularity between
regularity between catchments
packing reveals regularity
reveals regularity
reveals regularity packing
regularity packing
regularity packing structure
results indicate regularity
indicate regularity
indicate regularity groundwater
regularity groundwater
regularity groundwater flow
more regular regularity
regular regularity
regular regularity makes
regularity makes
regularity makes it
cavity wall irregularity
wall irregularity
wall irregularity threshold
irregularity threshold
irregularity threshold percolation
here ii regularity
ii regularity
ii regularity described
regularity described
regularity described periodic
no effect irregularity
effect irregularity
effect irregularity shape
irregularity shape
irregularity shape air
notably magnitude regularity
magnitude regularity
magnitude regularity rainfall
regularity rainfall
regularity rainfall events
have occurred regularity
occurred regularity
occurred regularity over
regularity over
regularity over last
