Word,Frequency
regularity packing structure,1
results indicate regularity,1
indicate regularity,1
indicate regularity groundwater,1
regularity groundwater,1
regularity groundwater flow,1
more regular regularity,1
regular regularity,1
regular regularity makes,1
regularity makes,1
regularity makes it,1
cavity wall irregularity,1
wall irregularity,1
wall irregularity threshold,1
irregularity threshold,1
irregularity threshold percolation,1
here ii regularity,1
ii regularity,1
ii regularity described,1
regularity described,1
regularity described periodic,1
no effect irregularity,1
effect irregularity,1
effect irregularity shape,1
irregularity shape,1
irregularity shape air,1
notably magnitude regularity,1
magnitude regularity,1
magnitude regularity rainfall,1
regularity rainfall,1
regularity rainfall events,1
have occurred regularity,1
occurred regularity,1
occurred regularity over,1
regularity over,1
regularity over last,1
